nama_sppg,alamat,provinsi,kab_kota,kecamatan,desa
"SPPG Bogor Cariu Cariu 2","Kp. Jangkar RT 01 RW 01, Kel. Mekarwangi, Kec. Cariu, Kab. Bogor","JAWA BARAT","BOGOR","CARIU","MEKARWANGI"
"SPPG Bogor Leuwisadeng Sibanteng","Jl. Raya Leuwiliang Jasinga Km 18, Kampung Jambu, Rt 2/Rw 2 Desa Sibanteng, Kec. Leuwisadeng, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","LEUWISADENG","SIBANTENG"
"SPPG Bogor Caringin Caringin","Kampung Caringin Rt 05 Rw 01, Desa Caringin, Kec. Caringin Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CARINGIN","CARINGIN"
"SPPG Bogor Dramaga Ciherang","Jl. Setu Kaum Perum Graha Arradea Blok B No.3 Dan 4 Rt 05 Rw 12, Ciherang, Dramaga, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","DRAMAGA","CIHERANG"
"SPPG Bogor Gunung Sindur Gunungsindur 3","Jl. Gotong Royong I, Kecamatan Gunung Sindur, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG SINDUR","GUNUNGSINDUR"
"SPPG Bogor Babakan Madang Sentul 2","Jl. Sentul International Circuit No.Km.42, Kadumangu, Kec. Babakan Madang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","BABAKAN MADANG","SENTUL"
"SPPG Bogor Cibungbulang Cibatok II","Kampung Cibeureum Rt. 03 Rw. 02 Desa Cibatok II, Kecamatan Cibungbulang, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBUNGBULANG","CIBATOK II"
"SPPG Bogor Tenjolaya Cibitung Tengah 3","Jl. Abdul Fatah, Kel. Cibitung Tengah, Kecamatan Tenjolaya, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","TENJOLAYA","CIBITUNG TENGAH"
"SPPG Bogor Dramaga Dramaga","Jl. Lingkar Dramaga, Dramaga, Kec. Dramaga, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","DRAMAGA","DRAMAGA"
"SPPG Bogor Dramaga Babakan 2","Jl. Raya Dramaga No.43, Babakan, Kecamatan Dramaga, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","DRAMAGA","BABAKAN"
"SPPG Bogor Cileungsi Pasirangin 3","Jl. Cileungsi Setu No 14 Kp. Pasir Angin Rt.002/001, Desa Pasir Angin, Kecamatan Cileungsi, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","PASIRANGIN"
"SPPG Kota Bogor Bogor Timur Baranangsiang","Jl. Komplek BSI Blok Q1 No. 1, kel. Baranangsiang, kec. Bogor Timur. RT 01/11","JAWA BARAT","KOTA BOGOR","BOGOR TIMUR","BARANANGSIANG"
"SPPG Kota Bogor Bogor Timur Katulampa 5","Jl. Parung Banteng No 17A Kel Katulampa Kec. Bogor Timur, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR TIMUR","KATULAMPA"
"SPPG Bogor Sukaraja Pasirlaja","Jl. Sukaraja, Rt.02/Rw.03, Pasirlaja, Kec. Sukaraja, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","SUKARAJA","PASIRLAJA"
"SPPG Bogor Jonggol Sukamaju 3","Jl. Rw Gembira, Sukamaju, Kec. Jonggol, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","JONGGOL","SUKAMAJU"
"SPPG Bogor Citeureup Tarikolot","Jl. Desa Tarikolot, Tarikolot, Kec. Citeureup, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CITEUREUP","TARIKOLOT"
"SPPG Bogor Ciomas Kota Batu 4","Jl. H. Mubarok No.2 Rt01/Rw14 Desa Kota Batu, Kecamatan Ciomas, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIOMAS","KOTA BATU"
"SPPG Kota Bogor Bogor Barat Bubulak 3","Jl. Raya Cifor No. 50, Bubulak, Kec. Bogor Barat, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR BARAT","BUBULAK"
"SPPG Bogor Leuwisadeng Babakan Sadeng","Kampung Sadeng Pasar Rt 04 Rw 04, Babakan Sadeng, Kec. Leuwisadeng, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","LEUWISADENG","BABAKAN SADENG"
"SPPG Bogor Gunung Putri Wanaherang 4","Kampung Cikuda Rt 024 Rw 07, Wanaherang, Kec. Gunung Putri, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG PUTRI","WANAHERANG"
"SPPG Blora Bogorejo Sarirejo","Desa Sarirejo Rt 2 Rw 1 Kecamatan Bogorejo Kabupaten Blora, Sarirejo, Bogorejo, Kab. Blora, Jawa Tengah","JAWA TENGAH","BLORA","BOGOREJO","SARIREJO"
"SPPG Bogor Cigombong Watesjaya 2","Kp. Cirewed, RT 04/ RW 01,","JAWA BARAT","BOGOR","CIGOMBONG","WATESJAYA"
"SPPG Bogor Cileungsi Gandoang","Jl. Masjid Baiturrahman, Rt 01 Rw 02 Desa Gandoang, Kec. Cileungsi, Kab Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","GANDOANG"
"SPPG Kota Bogor Bogor Tengah Ciwaringin","Jalan Ciwaringin No. 65 RT 001 RW 004, Kelurahan Ciwaringin, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR TENGAH","CIWARINGIN"
"SPPG Bogor Parung Warujaya 5","Warujaya Rt.03/Rw.06, Kec. Gunung Sindur, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","PARUNG","WARUJAYA"
"SPPG Bogor Ciampea Cibadak 2","Gang Balai Desa, Rt 006 Rw 001, Kampung Cibadak, Kecamatan Ciampea, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIAMPEA","CIBADAK"
"SPPG Bogor Pamijahan Pamijahan","Kampung Nangkasari Satu Rt 001 Rw 002, Pamijahan, Kec. Pamijahan, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","PAMIJAHAN","PAMIJAHAN"
"SPPG Bogor Cibinong Nanggewer 3","Jl. Kampung Nanggewer No. 234 Rt 01, Rw 07, Kelurahan Nanggewer, Kecamatan Cibinong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","NANGGEWER"
"SPPG Bogor Klapanunggal Bojong","Jl. Raya Bojong Klapa Nunggal, Ds.Bojong, Kec. Klapanunggal, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","KLAPANUNGGAL","BOJONG"
"SPPG Bogor Ciampea Benteng 2","Jl. Letnan Sukarna, Kampung Gedong Temi Rt 03/01 Desa Benteng, Kec. Ciampea, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIAMPEA","BENTENG"
"SPPG Kota Bogor Tanah Sareal Cibadak 2","Jl. Baru Yasmin Ring Road Rt/Rw. 005/004, Kel. Cibadak, Kecamatan Tanah Sareal, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","TANAH SAREAL","CIBADAK"
"SPPG Bogor Jonggol Jonggol 5","Jl. Raya Jonggol Cariu Kampung Pojok Salak, Rt. 04/08, Desa Jonggol, Kec. Jonggol, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","JONGGOL","JONGGOL"
"SPPG Bogor Ciawi Pandan Sari","Jl. Kp. Sawah RT/RW 001/07, Desa Pandansari","JAWA BARAT","BOGOR","CIAWI","PANDAN SARI"
"SPPG Bogor Cigombong Watesjaya","Kampung Bojong Kiharib Rt 04 Rw 02 Desa Wates Jaya Kec Cigombong Kab Bogor Jawabarat, Watesjaya, Cigombong, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIGOMBONG","WATESJAYA"
"SPPG Bogor Cibinong Nanggewer Mekar 3","Jl. Bumi Sentosa Raya Blok A1 No.5, Rt.08, Rw.09, Kel. Nanggewer Mekar, Kec. Cibinong, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","NANGGEWER MEKAR"
"SPPG Bogor Ciomas Kota Batu 1","Gg. Hanjuang No.15, Rt.3/Rw.2 Kota Batu Kecamatan Ciomas Kabupaten Bogor Jawa barat","JAWA BARAT","BOGOR","CIOMAS","KOTA BATU"
"SPPG Bogor Nanggung Batu Tulis 2","Kampung Pasir Gintung Rt 01 Rw 03, Batu Tulis, Kec. Nanggung, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","NANGGUNG","BATU TULIS"
"SPPG Bogor Cibungbulang Cibatok I","Jl. Kapten Dasuki Bakri, Kampung Cibatok Rt. 003 Rw. 008, Cibatok I, Kec. Cibungbulang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBUNGBULANG","CIBATOK I"
"SPPG Bogor Caringin Pasirbuncir","Jl. Desa Pasir Buncir (Kp Cisalopa)108 Kec Caringin Desa Pasir Buncir Kab Bogor, Pasirbuncir, Caringin, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CARINGIN","PASIRBUNCIR"
"SPPG Bogor Sukaraja Cimandala","Jl. Dharmais No 156 Rt 005 Rw 002, Cimandala, Kec. Sukaraja, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","SUKARAJA","CIMANDALA"
"SPPG Bogor Gunung Putri Bojong Kulur 2","Jl. Majelis Taklim Al Mansyuriah No 36 RT.001 RW.011, Kelurahan Bojong Kulur, Kecamatan Gunung Putri, Kabupaten Bogor, Jawa Barat, 16969","JAWA BARAT","BOGOR","GUNUNG PUTRI","BOJONG KULUR"
"SPPG Bogor Tenjolaya Cibitung Tengah","Jl. Abdul Fatah Rt. 08 Rw. 03 Pondok Pesantren Bhakti Nugraha, Cibitung Tengah, Tenjolaya, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TENJOLAYA","CIBITUNG TENGAH"
"SPPG Bogor Pamijahan Gunungsari","Kampung Hegarsari Rt 004 Rw 005 Desa Gunung Sari Kecamatan Pamijahan Kabupaten Bogor Provinsi Jawa Barat","JAWA BARAT","BOGOR","PAMIJAHAN","GUNUNGSARI"
"SPPG Bogor Nanggung Parakanmuncang","Parakan Muncang, Kec. Nanggung, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","NANGGUNG","PARAKANMUNCANG"
"SPPG Bogor Tenjolaya Gunung Mulya","Pabrik Cincau Kec, Tenjolaya, Desa Gunung Malang Rt02/Rw01, Gunung Mulya, Kec. Tenjolaya, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TENJOLAYA","GUNUNG MULYA"
"SPPG Bogor Leuwisadeng Sadeng 2","Kampung Paku Rt 01 Rw 02 Desa Sadeng Kecamatan Leuwisadeng, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","LEUWISADENG","SADENG"
"SPPG Kota Bogor Bogor Tengah Ciwaringin 2","Jl. Bogor Baru C2 No. 04, RT. 008/RW. 003, Kelurahan Tegallega, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR TENGAH","TEGALLEGA"
"SPPG Bogor Gunung Putri Cikeas Udik 2","Jl. Raya Pabuaran No. 56A Rt 01 Rw 013, Kelurahan Cikeas Udik, Kecamatan Gunung Putri, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG PUTRI","CIKEAS UDIK"
"SPPG Bogor Sukamakmur Cibadak","Jl. Babakan Madang No.1 Dusun 1 Rt 003 Rw 05, Cibadak, Kecamatan Sukamakmur, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","SUKAMAKMUR","CIBADAK"
"SPPG Bogor Pamijahan Ciasmara","Kampung Hegarmanah Rt 001 Rw 006 Desa Ciasmara Kecamatan Pamijahan Kabupaten Bogor Jawa Barat","JAWA BARAT","BOGOR","PAMIJAHAN","CIASMARA"
"SPPG Bogor Kemang Tegal","Jl. Raya Desa Tegal Rt 01/Rw003 Kecamatan Kemang Kabupaten Bogo, Jawa Barat","JAWA BARAT","BOGOR","KEMANG","TEGAL"
"SPPG Bogor Cigombong Cigombong","Kampung Cigombong Lido Rt 03 Rw 01, Kec. Cigombong, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIGOMBONG","CIGOMBONG"
"SPPG Bogor Ciomas Laladon 2","Jl. Laladon Baru Raya No.88 Rt/Rw 05/07 Desa Laladon Kec. Ciomas Kab. Bogor Jawa Barat","JAWA BARAT","BOGOR","CIOMAS","LALADON"
"SPPG Bogor Cisarua Leuwimalang","Jl. Hankam No.51, Rt.01/Rw.03, Leuwimalang, Kecamatan Cisarua, Kabupaten Bogor, Jawa Barat 16750","JAWA BARAT","BOGOR","CISARUA","LEUWIMALANG"
"SPPG Bogor Ciseeng Babakan 3","Jl. Raya Amd Kampung Babakan Kulon 1 Rt.03/01 Kec. Ciseeng Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CISEENG","BABAKAN"
"SPPG Bogor Klapanunggal Bojong 2","Jl. Inkop Au, Kelurahan Bojong, Kecamatan Klapanunggal, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","KLAPANUNGGAL","BOJONG"
"SPPG Bogor Megamendung Cipayung Girang","Jl. Raya Puncak Km 75 No. 239 Rt 04 /Rw 03, Desa Cipayung Girang, Kec. Megamendung, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","MEGAMENDUNG","CIPAYUNG GIRANG"
"SPPG Bogor Parung Panjang Gintungcilejet","Jl. Raya Salimah, Pasar Kemis RT 007/002, Gintung Cilejet, Kec. Parung Panjang, Kabupaten Bogor, Jawa Barat 16360","JAWA BARAT","BOGOR","PARUNG PANJANG","GINTUNGCILEJET"
"SPPG Bogor Ranca Bungur Bantarjaya","Jl. Cimulang Bantarkambing No.177B, Rt 003/ Rw 002, Desa Bantarjaya, Kecamatan Rancabungur, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","RANCA BUNGUR","BANTARJAYA"
"SPPG Bogor Klapanunggal Bojong 4","Bojong, Kecamatan Klapanunggal, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","KLAPANUNGGAL","BOJONG"
"SPPG Kota Bogor Bogor Timur Katulampa 4","Baranangsiang Indah Jl. Jatiluhur Blok D4/11, Rt.01 Rw.04, Katulampa, Kec. Bogor Timur, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR TIMUR","KATULAMPA"
"SPPG Bogor Citeureup Tangkil","Jl. RAYA PALM HILLS, RT/RW: 001/005, TANGKIL, CITEUREUP, KAB. BOGOR, JAWA BARAT","JAWA BARAT","BOGOR","CITEUREUP","TANGKIL"
"SPPG Bogor Ciampea Benteng 3","Kampung Gedong Sawah Rt. 04 Rw.01 Kel. Benteng, Kec. Ciampea, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIAMPEA","BENTENG"
"SPPG Bogor Parung Waru","Jl. H. Mawi No.173, Rt.3/Rw.1, Waru, Kec. Parung, Kabupaten Bogor, Jawa Barat 16330","JAWA BARAT","BOGOR","PARUNG","WARU"
"SPPG Kota Bogor Bogor Tengah Kebon Kalapa 2","Jl. Semboja No.22, Rt.01/Rw.04, Kebon Kalapa, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR TENGAH","KEBON KALAPA"
"SPPG Bogor Cibinong Tengah 3","Kampung Cipayung, Tengah, Kec. Cibinong, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","TENGAH"
"SPPG Bogor Cileungsi Pasirangin","Jl. Griya Alam Sentosa Kavling 103 RT 04/ RW 07","JAWA BARAT","BOGOR","CILEUNGSI","PASIRANGIN"
"SPPG Bogor Leuwisadeng Sadeng Kolot","Kampung Pabuaran RT 002 RW 007, Desa Sadeng Kolot, Kec. Leuwisadeng, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","LEUWISADENG","SADENG KOLOT"
"SPPG Bogor Cigudeg Bunar","Jl. Cigudeg Raya Km 38 Kav 1 Kel. Bunar, Kec. Cigudeg, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIGUDEG","BUNAR"
"SPPG Bogor Pamijahan Cibitungwetan","Jl. Gardu Raya No.10, Cibitungwetan, Kec. Pamijahan, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","PAMIJAHAN","CIBITUNGWETAN"
"SPPG Bogor Parung Warujaya","Jl. H. Mawi No.31, Warujaya, Kec. Parung, Kabupaten Bogor, Jawa Barat 16330","JAWA BARAT","BOGOR","PARUNG","WARUJAYA"
"SPPG Bogor Rumpin Kertajaya","Kampung Pabuaran Rt 002 Rw 005 Desa Kertajaya Kec. Rumpin Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","RUMPIN","KERTAJAYA"
"SPPG Bogor Cibungbulang Galuga","Jl. Raya Leuwiliang No.117, Galuga, Kec. Cibungbulang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBUNGBULANG","GALUGA"
"SPPG Kota Bogor Bogor Selatan Cikaret","Jl. Flamboyan No. 23, Cikaret, Kec. Bogor Selatan, Kota Bogor, Jawa Barat 16132","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","CIKARET"
"SPPG Bogor Sukaraja Pasirlaja 2","Jl. Sukaraja No.35 Desa Pasirlaja RT. 004 RW. 001","JAWA BARAT","BOGOR","SUKARAJA","PASIRLAJA"
"SPPG Bogor Citeureup Citeureup","Jl. Sabililah Kampung Lebak Pasar No. 01 Rt 03 Rw 01 Desa Citeureup Kecamatan Citeureup Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CITEUREUP","CITEUREUP"
"SPPG Bogor Cibinong Sukahati 4","Jl. Pajeleran No. 10 RT 005 / RW 007","JAWA BARAT","BOGOR","CIBINONG","SUKAHATI"
"SPPG Bogor Tajurhalang Sukmajaya","Jl. Raya Nanggerang Rt.005/Rw.005 , Sukmajaya, Kecamatan Tajur Halang, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","TAJURHALANG","SUKMAJAYA"
"SPPG Bogor Babakan Madang Cipambuan 2","Jl. H. Abu Bakar Rt.01/Rw.01, Desa Cipambuan, Kecamatan Babakan, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","BABAKAN MADANG","CIPAMBUAN"
"SPPG Bogor Cisarua Citeko 3","Jl. Raya Puncak Km. 83 Kampung Citeko Rt 02/03 Kec. Cisarua, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CISARUA","CITEKO"
"SPPG Bogor Jonggol Jonggol 1","Jl. Jeprah RT 01 RW 11 Desa Jonggol, Kecamatan Jonggol, Kabupaten Bogor","JAWA BARAT","BOGOR","JONGGOL","JONGGOL"
"SPPG Bogor Cisarua Tugu Utara","Jl. Raya Puncak Cisarua No. 7 Km 83,6, Desa Tugu Utara, Kecamatan Cisarua, Kabupaten Bogor, Provinsi Jawa Barat","JAWA BARAT","BOGOR","CISARUA","TUGU UTARA"
"SPPG Bogor Caringin Cinagara 3","Jl. Cinagara, Gang Talang, Rt.01/Rw.03, Cinagara, Kec. Caringin, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CARINGIN","CINAGARA"
"SPPG Bogor Parung Panjang Kabasiran 3","Kabasiran, Kecamatan Parung Panjang, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","PARUNG PANJANG","KABASIRAN"
"SPPG Kota Bogor Bogor Selatan Muara Sari 2","Jl. Raya Tajur Rt.03 Rw.03 Kel. Muarasari Kecamatan Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","MUARA SARI"
"SPPG Kota Bogor Bogor Tengah Paledang 3","Jl. Kantor Batu No 22 Kec Bogor Tengah Kel Paledang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR TENGAH","PALEDANG"
"SPPG Bogor Cibinong Pakansari","Jl. Gang H Naijan 1, Pakansari, Kec. Cibinong, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","PAKANSARI"
"SPPG Bogor Tajurhalang Tajurhalang","Jl. Cendrawasih No. 21, Kel. Tajurhalang, Kec. Tajurhalang, Kabupaten Bogor, Kode Pos : 16320, Jawa Barat","JAWA BARAT","BOGOR","TAJURHALANG","TAJURHALANG"
"SPPG Bogor Cisarua Cibeureum","Kampung Jolok Jl. Taman Safari Rt.003/007 No.60, Cibeureum, Kec. Cisarua, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CISARUA","CIBEUREUM"
"SPPG Bogor Tanjungsari Tanjungsari 2","Kav. A, Jl. Besarcibadak, Pasir Tanjung, Tanjungsari, Kec. Tanjungsari, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TANJUNGSARI","TANJUNGSARI"
"SPPG Bogor Cigombong Ciburayut","Kelurahan Ciburayut, Kecamatan Cigombong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIGOMBONG","CIBURAYUT"
"SPPG Bogor Ciseeng Ciseeng 2","Jl. H. Miing Rt 02 Rw 01, Desa Karihkil, Kec. Ciseeng, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CISEENG","CISEENG"
"SPPG Bogor Parung Iwul","Jl. Lotong No. 62 RT/RW 002/005 Desa Iwul, Kecamatan Parung, Kabupaten Bogor 16330","JAWA BARAT","BOGOR","PARUNG","IWUL"
"SPPG Kota Bogor Bogor Selatan Rancamaya","Kampung Poponcol, Rt. 05/01, Rt.01/Rw.05, Rancamaya, Bojongkerta, Kecamatan Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","RANCAMAYA"
"SPPG Bogor Tajurhalang Tajurhalang 4","Jl. Setapak, Rt 001/Rw 005, Tajurhalang, Kec. Tajurhalang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TAJURHALANG","TAJURHALANG"
"SPPG Bogor Parung Pamegarsari 2","Gang Bonten, Pamegarsari, Kecamatan Parung, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","PARUNG","PAMEGARSARI"
"SPPG Kota Bogor Bogor Selatan Batu Tulis 3","Jl. Lawang Gintung Blok Sekolah No.21, Rt.01/Rw.02, Batutulis, Kecamatan Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","BATU TULIS"
"SPPG Bogor Cigudeg Bangunjaya","Kampung Nanggung Pabuaran Rt 02 Rw 03 Desa Bangunjaya, Kec. Cigudeg, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIGUDEG","BANGUNJAYA"
"SPPG Bogor Cibinong Nanggewer 2","No 9 Blok Rawa Rt 04 Rw06, Nanggewer, Kec. Cibinong, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","NANGGEWER"
"SPPG Bogor Bojong Gede Susukan","Blok.B2 Kampung Bambu Kuning Rt 03 Rw 08 Desa Susukan Kec. Bojong Gede Kab.Bogor, Jawa Barat","JAWA BARAT","BOGOR","BOJONG GEDE","SUSUKAN"
"SPPG Bogor Jonggol Jonggol 3","Jl. Raya Jonggol Cariu, Komplek Yonpomad, Kec. Jonggol, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","JONGGOL","SIRNAGALIH"
"SPPG Bogor Tajurhalang Sasak Panjang","Jl. AMD RT.04 RW.08 Kel. Sasak Panjang, Kec. Tajur Halang Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TAJURHALANG","SASAK PANJANG"
"SPPG Bogor Parung Panjang Jagabaya","Desa Jagabaya, Kec. Parung Panjang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","PARUNG PANJANG","JAGABAYA"
"SPPG Bogor Tanjungsari Pasir Tanjung","Jalan Transyogi, RT 08 RW 03 Desa Pasir Tanjung, Kecamatan Tanjungsari, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","TANJUNGSARI","PASIR TANJUNG"
"SPPG Bogor Klapanunggal Bojong 5","Jl. Raya Klapanunggal No.170 Desa Bojong, Kecamatan Klapanunggal, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","KLAPANUNGGAL","BOJONG"
"SPPG Bogor Gunung Putri Ciangsana","Desa Ciangsana, Kecamatan Gunung Putri. Kabupaten Bogor, Provinsi Jawa Barat","JAWA BARAT","BOGOR","GUNUNG PUTRI","CIANGSANA"
"SPPG Bogor Sukaraja Cimandala 2","Cimandala, Kecamatan Sukaraja, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","SUKARAJA","CIMANDALA"
"SPPG Bogor Jasinga Pangaur","Jln. Letnan Sayuti, kp.panyindangan, rt 02/rw 04, ds.pangaur, kec.jasinga, kab.bogor.","JAWA BARAT","BOGOR","JASINGA","PANGAUR"
"SPPG Bogor Cigombong Ciadeg","Jl. Padat Karya No 2, Desa Ciadeg Kec. Cigombong Kab. Bogor Jawa Barat","JAWA BARAT","BOGOR","CIGOMBONG","CIADEG"
"SPPG Bogor Parung Panjang Pingku","Kp Karehkel, RT 03 / RW 01, Desa Pingku, Kec Parung Panjang, Kab Bogor","JAWA BARAT","BOGOR","PARUNG PANJANG","PINGKU"
"SPPG Bogor Gunung Sindur Rawakalong 3","Jl. Cendana No 7A Desa Rawa Kalong, Kec. Gunung Sindur, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG SINDUR","RAWAKALONG"
"SPPG Bogor Cibungbulang Sukamaju","Jl. Kh Abdul Hamid 10 Rt.001 Rw.003, Sukamaju, Kec. Cibungbulang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBUNGBULANG","SUKAMAJU"
"SPPG Bogor Cileungsi Pasirangin 4","Perumahan Griya Alam Sentosa Rt 11 Rw 08 Desa Pasir Angin, Kecamatan Cileungsi, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","PASIRANGIN"
"SPPG Bogor Ciampea Benteng 4","Jl. Raya Letnan Sukarna Desa Benteng, Kecamatan Ciampea, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIAMPEA","BENTENG"
"SPPG Bogor Sukaraja Nagrak","Kp. Jalan Sukaraja Rt 01 Rw 02, Desa Sukaraja, Kec. Sukaraja Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","SUKARAJA","SUKARAJA"
"SPPG Bogor Ciampea Tegalwaru 3","Jl. Tegal Waru, Tegalwaru, Kec. Ciampea, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIAMPEA","TEGALWARU"
"SPPG Bogor Bojong Gede Bojonggede 5","Kampung Sawah Empang, Rt 05 Rw 08, Kel. Bojong Gede, Kec. Bojong Gede, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","BOJONG GEDE","BOJONGGEDE"
"SPPG Bogor Tenjo Babakan","Jl. Raya Manunggal XIX, Babakan, Kec. Tenjo, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TENJO","BABAKAN"
"SPPG Kota Bogor Tanah Sareal Kedung Badak 1","Jl. Kol. Enjo Martadisastra RT 7 RW 5","JAWA BARAT","KOTA BOGOR","TANAH SAREAL","KEDUNG BADAK"
