nama_sppg,alamat,provinsi,kab_kota,kecamatan,desa
"SPPG Bogor Cileungsi Cipeucang","Jl. Kampung Tegal, Cipeucang, Kec. Cileungsi, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","CIPEUCANG"
"SPPG Bogor Parung Panjang Cibunar","Kampung Rancabelut Rt 01 Rw 08, Cibunar, Kec. Parung Panjang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","PARUNG PANJANG","CIBUNAR"
"SPPG Kota Bogor Bogor Selatan Pamoyanan 4","Jl. Pamoyanan, Rt 01 Rw 07 Kelurahan Pamoyanan, Kecamatan Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","PAMOYANAN"
"SPPG Bogor Megamendung Sukakarya","Jl Lembah Nendeut No. 36 Kp Coblong, Desa Sukakarya Kecamatan Megamendung, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","MEGAMENDUNG","SUKAKARYA"
"SPPG Bogor Ranca Bungur Rancabungur","Jl. Lkr. Rancabungur, Kec. Rancabungur, Kab. Bogor, Jawa Barat, Rancabungur, Ranca Bungur, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","RANCA BUNGUR","RANCABUNGUR"
"SPPG Kota Bogor Bogor Selatan Pamoyanan 4","Jl. Pamoyanan, Rt 01 Rw 07 Kelurahan Pamoyanan, Kecamatan Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","PAMOYANAN"
"SPPG Bogor Megamendung Megamendung","Jl. Megamendung No. 1, Megamendung, Kec. Megamendung, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","MEGAMENDUNG","MEGAMENDUNG"
"SPPG Bogor Ciawi Banjar Waru 2","Jl. Veteran III, Desa Banjrwaru Kec. Ciawi, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIAWI","BANJAR WARU"
"SPPG Bogor Tenjo Ciomas","Kampung Cinyurup Rt 03/04, Desa Ciomas Kecamatan Tenjo Kabupaten Bogor Jawa Barat","JAWA BARAT","BOGOR","TENJO","CIOMAS"
"SPPG Bogor Cibinong Nanggewer Mekar 4","Jl. Sirojul Munir, Nanggewer Mekar, Kecamatan Cibinong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","NANGGEWER MEKAR"
"SPPG Bogor Babakan Madang Cijayanti","Jl. Cijayanti Kp. Pasir Maung Rt.03, Rw.09 Cijayanti, Babakan Madang, Kab. Bogor","JAWA BARAT","BOGOR","BABAKAN MADANG","CIJAYANTI"
"SPPG Bogor Gunung Putri Wanaherang 3","Jl. Anggrek Kel. Wanaherang Kec. Gunung Putri Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG PUTRI","WANAHERANG"
"SPPG Bogor Cileungsi Cileungsi 7","Jl. Anggrek No.86, Cileungsi, Kecamatan Cileungsi, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","CILEUNGSI"
"SPPG Kota Bogor Bogor Selatan Kertamaya","Jl. Bojong Margasri Rt.02/Rw.06, Kertamaya, Kecamatan Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","KERTAMAYA"
"SPPG Bogor Klapanunggal Kembang Kuning 2","Gedung Serbaguna, Kembang Kuning, Kec. Klapanunggal, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","KLAPANUNGGAL","KEMBANG KUNING"
"SPPG Bogor Leuwiliang Leuwiliang 3","Kampung Kandang Sapi, Rt 02 Rw 01 Kel. Leuwimekar, Kec. Leuwiliang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","LEUWILIANG","LEUWILIANG"
"SPPG Bogor Cileungsi Mekarsari 2","Jl. Raya Cileungsi Jonggol, Jl. Kampung Cipicung, Desa Mekarsari, Kecamatan Cileungsi,Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","MEKARSARI"
"SPPG Bogor Gunung Sindur Pengasinan 2","Jl. Desa Pengasinan No.30 Rt 004 Rw 001, Desa Pengasinan, Kecamatan Gunung Sindur, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG SINDUR","PENGASINAN"
"SPPG Bogor Tenjo Ciomas","Kampung Cinyurup Rt 03/04, Desa Ciomas Kecamatan Tenjo Kabupaten Bogor Jawa Barat","JAWA BARAT","BOGOR","TENJO","CIOMAS"
"SPPG Kota Bogor Bogor Selatan Kertamaya","Jl. Bojong Margasri Rt.02/Rw.06, Kertamaya, Kecamatan Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","KERTAMAYA"
"SPPG Bogor Cileungsi Cileungsi 7","Jl. Anggrek No.86, Cileungsi, Kecamatan Cileungsi, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","CILEUNGSI"
"SPPG Bogor Cibinong Nanggewer Mekar 4","Jl. Sirojul Munir, Nanggewer Mekar, Kecamatan Cibinong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","NANGGEWER MEKAR"
"SPPG Bogor Leuwiliang Leuwiliang 2","Jl. Lingkar Leuwiliang Kel. Leuwiliang Kec. Leuwiliang Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","LEUWILIANG","LEUWILIANG"
"SPPG Bogor Babakan Madang Cijayanti","Jl. Cijayanti Kp. Pasir Maung Rt.03, Rw.09 Cijayanti, Babakan Madang, Kab. Bogor","JAWA BARAT","BOGOR","BABAKAN MADANG","CIJAYANTI"
"SPPG Bogor Cibinong Sukahati 2","Jl. Persatuan No. 53, Sukahati, Cibinong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","SUKAHATI"
"SPPG Bogor Klapanunggal Kembang Kuning 2","Gedung Serbaguna, Kembang Kuning, Kec. Klapanunggal, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","KLAPANUNGGAL","KEMBANG KUNING"
"SPPG Kota Bogor Bogor Utara Cibuluh 1","Jl. KH. Sholeh Iskandar No. 147","JAWA BARAT","KOTA BOGOR","BOGOR UTARA","CIBULUH"
"SPPG Bogor Jonggol Jonggol 2","Jl. Kp. Bengkok RT. 002/ RW 009","JAWA BARAT","BOGOR","JONGGOL","JONGGOL"
"SPPG Bogor Cileungsi Mekarsari 2","Jl. Raya Cileungsi Jonggol, Jl. Kampung Cipicung, Desa Mekarsari, Kecamatan Cileungsi,Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","MEKARSARI"
"SPPG Bogor Tenjo Ciomas","Kampung Cinyurup Rt 03/04, Desa Ciomas Kecamatan Tenjo Kabupaten Bogor Jawa Barat","JAWA BARAT","BOGOR","TENJO","CIOMAS"
"SPPG Blora Bogorejo Jeruk","Desa jeruk Rt 01 Rw 02 Kec. Bogorejo Kab. Blora Jawa Tengah","JAWA TENGAH","BLORA","BOGOREJO","JERUK"
"SPPG Bogor Cibinong Nanggewer Mekar 4","Jl. Sirojul Munir, Nanggewer Mekar, Kecamatan Cibinong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","NANGGEWER MEKAR"
"SPPG Bogor Cibinong Sukahati 2","Jl. Persatuan No. 53, Sukahati, Cibinong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","SUKAHATI"
"SPPG Bogor Leuwiliang Leuwiliang 2","Jl. Lingkar Leuwiliang Kel. Leuwiliang Kec. Leuwiliang Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","LEUWILIANG","LEUWILIANG"
